Country,Code,Voice and Accountability,Political Stability and Absence of Violence/Terrorism,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
"Korea, Rep.",KOR,0.7721228003501892,0.4780881404876709,1.3764177560806274,1.069812536239624,1.194070816040039,0.7567342519760132
Kuwait,KWT,-0.6347894668579102,0.20038090646266937,0.01846727915108204,0.06492389738559723,0.21567395329475403,-0.1327890157699585
Lao PDR,LAO,-1.8016995191574097,0.5250729322433472,-0.7845454216003418,-0.713214635848999,-0.9411007761955261,-1.0582287311553955
Lebanon,LBN,-0.4943316876888275,-1.6387401819229126,-0.8328024744987488,-0.4255921542644501,-0.8582801222801208,-1.1602132320404053
Liberia,LBR,-0.02834293246269226,-0.22901391983032227,-1.3751332759857178,-0.9789447784423828,-0.9952112436294556,-0.8775807023048401
Libya,LBY,-1.4583346843719482,-2.5657525062561035,-1.9221433401107788,-2.346947431564331,-1.848054051399231,-1.603636622428894
St. Lucia,LCA,0.928154706954956,0.9261937737464905,0.22584962844848633,0.23496533930301666,0.569129467010498,0.5247429609298706
Liechtenstein,LIE,1.2593640089035034,1.627746343612671,1.6967663764953613,1.5408135652542114,1.679332971572876,1.9683111906051636
Sri Lanka,LKA,-0.04258374869823456,-0.22812418639659882,-0.11354987323284149,-0.18437041342258453,-0.011983425356447697,-0.319470077753067
Lesotho,LSO,0.029661079868674278,-0.35466569662094116,-0.8322616815567017,-0.5356035828590393,-0.3805970847606659,-0.027304306626319885
Lithuania,LTU,1.0248534679412842,0.8421939611434937,1.043380856513977,1.1573636531829834,1.0228707790374756,0.6759859919548035
Luxembourg,LUX,1.5244420766830444,1.3621183633804321,1.7336456775665283,1.6998822689056396,1.7934256792068481,2.112196207046509
Latvia,LVA,0.8849514722824097,0.4488481283187866,1.1050282716751099,1.192685604095459,1.013924241065979,0.4849397540092468
Kosovo,KSV,-0.1295882761478424,-0.392466276884079,-0.34941285848617554,-0.34727782011032104,-0.393017441034317,-0.5561343431472778
"Macao SAR, China",MAC,-0.3028436005115509,1.250643014907837,1.169393539428711,1.6270740032196045,0.9188038110733032,0.7042210102081299
Morocco,MAR,-0.6268053650856018,-0.3693983554840088,-0.11922524124383926,-0.21152836084365845,-0.13564912974834442,-0.27653631567955017
Monaco,MCO,0.6848723292350769,1.5918735265731812,NA,NA,NA,NA
Moldova,MDA,-0.08993624895811081,-0.3827970623970032,-0.383404940366745,0.009786710143089294,-0.37302857637405396,-0.6186847686767578
Madagascar,MDG,-0.22059810161590576,-0.25254756212234497,-1.142453670501709,-0.7300456166267395,-1.0088132619857788,-1.0093696117401123
Maldives,MDV,-0.4419447183609009,0.013524998910725117,-0.19421827793121338,-0.47961467504501343,-0.41108790040016174,-0.26250743865966797
Mexico,MEX,0.01832827739417553,-0.7145709991455078,-0.15700839459896088,0.10367979109287262,-0.6581035852432251,-0.8210800886154175
Marshall Islands,MHL,1.1366156339645386,0.8625854253768921,-1.4705981016159058,-1.1167935132980347,-0.03309406712651253,-0.04341627657413483
North Macedonia,MKD,-0.0015601958148181438,-0.049200501292943954,-0.002485753735527396,0.5087844729423523,-0.24343633651733398,-0.40946370363235474
Mali,MLI,-0.41409948468208313,-2.1534361839294434,-1.0564441680908203,-0.5731859803199768,-0.8342335820198059,-0.6966434717178345
Malta,MLT,1.110596776008606,1.090186595916748,0.8584199547767639,0.9556453824043274,0.952232301235199,0.23938655853271484
Myanmar,MMR,-0.8377732038497925,-1.2617672681808472,-1.1498692035675049,-0.7603928446769714,-1.0627838373184204,-0.6251955032348633
Mongolia,MNG,0.34896886348724365,0.6434916853904724,-0.19483031332492828,-0.01124198455363512,-0.2662930488586426,-0.44176074862480164
Montenegro,MNE,0.02666332758963108,0.010601907037198544,0.15625758469104767,0.3652314841747284,0.0957447960972786,-0.030126255005598068
Mozambique,MOZ,-0.5082346796989441,-0.7454385757446289,-0.8232895731925964,-0.724764347076416,-1.0201843976974487,-0.8010145425796509
Mauritania,MRT,-0.7802137136459351,-0.5422165989875793,-0.49821245670318604,-0.7593396902084351,-0.5827178955078125,-0.8615845441818237
