genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Comedy,UNRATED,42nd Street,USA,1933,movie,English,7.7,3.6,1930
Drama,PASSED,The Emperor Jones,USA,1933,movie,English,6.5,3.3,1930
Musical,PASSED,Going Hollywood,USA,1933,movie,English,8.1,3.5,1930
Adventure,APPROVED,Wild Boys of the Road,USA,1933,movie,English,7.5,3.9,1930
Drama,UNRATED,Death Takes a Holiday,USA,1934,movie,English,7.2,3.8,1930
Drama,NA,Le grand jeu,France,1934,movie,French,7.3,3.5,1930
Action,UNRATED,Tarzan and His Mate,USA,1934,movie,English,7.6,3.7,1930
Comedy,NA,Twentieth Century,USA,1934,movie,English,7.9,3.7,1930
Drama,UNRATED,San Francisco,USA,1936,movie,English,7.3,3.7,1940
Drama,PASSED,These Three,USA,1936,movie,English,7.7,3.6,1940
Drama,PASSED,The Edge of the World,UK,1937,movie,English,7.4,3.6,1940
Drama,NOT RATED,A Star Is Born,USA,1937,movie,English,7.7,3.6,1940
Drama,APPROVED,They Won't Forget,USA,1937,movie,English,7.4,3.8,1940
Biography,PASSED,The Great Waltz,USA,1938,movie,English,6.7,3.5,1940
Drama,Approved,Mother Carey's Chickens,USA,1938,movie,English,6.4,3.4,1940
Documentary,NA,Olympia Part Two: Festival of Beauty,Germany,1938,movie,German,8,4.2,1940
Comedy,APPROVED,Destry Rides Again,USA,1939,movie,English,7.8,3.7,1940
Drama,Approved,Tevya,USA,1939,movie,Yiddish,6.9,3.9,1940
Comedy,NOT RATED,The Women,USA,1939,movie,English,8,4.2,1940
Drama,NA,The Siege of the Alcazar,Italy,1940,movie,Italian,6.4,3.8,1940
Comedy,PASSED,"Arise, My Love",USA,1940,movie,English,7,3.6,1940
Drama,NA,Jud Sèè,Germany,1940,movie,German,5.2,2.5,1940
Drama,APPROVED,The Hard Way,USA,1943,movie,English,7.2,3.6,1940
Drama,PASSED,Random Harvest,USA,1942,movie,English,8,4.1,1940
Comedy,PG-13,Kate & Leopold,USA,2001,movie,English,6.3,3,2000
Adventure,UNRATED,For Whom the Bell Tolls,USA,1943,movie,English,7,3.5,1940
Crime,PASSED,Double Indemnity,USA,1944,movie,English,8.4,4.2,1940
Crime,PASSED,Gaslight,USA,1944,movie,English,7.9,4,1940
Comedy,PASSED,Going My Way,USA,1944,movie,English,7.3,3.7,1940
Comedy,APPROVED,Meet Me in St. Louis,USA,1944,movie,English,7.7,3.8,1940
Drama,NA,The Battle of the Rails,France,1946,movie,French,7,3.8,1950
Crime,NA,The Bandit,Italy,1946,movie,Italian,6.9,3.8,1950
Crime,NOT RATED,City Streets,USA,1931,movie,English,7.3,3.8,1930
Crime,NOT RATED,M,Germany,1931,movie,German,8.4,4.4,1930
Crime,NA,The Public Enemy,USA,1931,movie,English,7.8,3.9,1930
Comedy,UNRATED,Gold Diggers of 1933,USA,1933,movie,English,8.1,4,1930
Comedy,PASSED,State Fair,USA,1933,movie,English,7,3.8,1930
Drama,UNRATED,Becky Sharp,USA,1935,movie,English,6.1,2.8,1940
Musical,PASSED,Broadway Melody of 1936,USA,1935,movie,English,6.9,3.8,1940
Adventure,PASSED,David Copperfield,USA,1935,movie,English,7.6,3.7,1940
Adventure,APPROVED,Anthony Adverse,USA,1936,movie,English,6.6,3.4,1940
Drama,APPROVED,Mayerling,France,1936,movie,French,7.2,3.7,1940
Biography,PASSED,Boys Town,USA,1938,movie,English,7.3,3.7,1940
Drama,APPROVED,Four Daughters,USA,1938,movie,English,7.1,3.8,1940
Drama,NA,Hotel du Nord,France,1938,movie,French,7.7,4,1940
Drama,NOT RATED,Union Pacific,USA,1939,movie,English,7.2,3.5,1940
Biography,APPROVED,Knute Rockne All American,USA,1940,movie,English,6.8,3.5,1940
Drama,APPROVED,The Long Voyage Home,USA,1940,movie,English,7.1,3.6,1940
Comedy,NOT RATED,Night Train to Munich,UK,1940,movie,English,7.3,3.6,1940
Drama,NOT RATED,Our Town,USA,1940,movie,English,6.8,3.2,1940
Comedy,PASSED,The Shop Around the Corner,USA,1940,movie,English,8.1,4.1,1940
Drama,PASSED,Journey for Margaret,USA,1942,movie,English,7.2,3.6,1940
Comedy,APPROVED,The Gang's All Here,USA,1943,movie,English,6.9,0,1940
Drama,NOT RATED,Day of Wrath,Denmark,1943,movie,Danish,7.9,4.2,1940
Documentary,UNRATED,San Pietro,USA,1945,movie,English,7,3.5,1940
Drama,APPROVED,Since You Went Away,USA,1944,movie,English,7.7,3.9,1940
Drama,PASSED,Thirty Seconds Over Tokyo,USA,1944,movie,English,7.5,3.7,1940
Crime,NA,The Testimony,Italy,1946,movie,Italian,6.5,3.7,1950
Crime,APPROVED,The Big Sleep,USA,1946,movie,English,8.1,4.1,1950
Drama,TV-14,Comradeship,Germany,1931,movie,French,7.6,3.8,1930
Comedy,NA,L'opèra de quat'sous,Germany,1931,movie,French,7,3.2,1930
Comedy,APPROVED,è Nous la Libertè,France,1931,movie,French,7.7,3.8,1930
Biography,NOT RATED,Cleopatra,USA,1934,movie,English,6.9,3.5,1930
Comedy,NA,Moscow Laughs,Soviet Union,1934,movie,Russian,7.2,4,1930
Drama,NA,The Trail of the Lonesome Pine,USA,1936,movie,English,6.9,3.3,1940
Drama,NA,Children in the Wind,Japan,1937,movie,Japanese,7.3,4.1,1940
Adventure,APPROVED,The Prince and the Pauper,USA,1937,movie,English,7.3,3.2,1940
Biography,NA,The Childhood of Maxim Gorky,Soviet Union,1938,movie,Russian,7.5,3.5,1940
Comedy,NOT RATED,Pygmalion,UK,1938,movie,English,7.9,3.8,1940
Comedy,APPROVED,You Can't Take It With You,USA,1938,movie,English,8,4,1940
Comedy,APPROVED,Vivacious Lady,USA,1938,movie,English,7.3,3.8,1940
Drama,APPROVED,Confessions of a Nazi Spy,USA,1939,movie,English,6.8,3.1,1940
Comedy,APPROVED,"Dance, Girl, Dance",USA,1940,movie,English,6.6,3.5,1940
Drama,APPROVED,Citizen Kane,USA,1941,movie,English,8.4,4.1,1940
Animation,APPROVED,Bambi,USA,1942,movie,English,7.4,3.4,1940
Action,APPROVED,The Black Swan,USA,1942,movie,English,7,3.7,1940
Drama,NA,Der groèe Kènig,Germany,1942,movie,German,6.6,0,1940
Drama,APPROVED,Mrs. Miniver,USA,1942,movie,English,7.6,3.9,1940
Drama,NA,The Pied Piper,USA,1942,movie,English,7.1,3.4,1940
Documentary,NA,Report from the Aleutians,USA,1943,movie,English,6.6,3.2,1940
Drama,PASSED,So Proudly We Hail!,USA,1943,movie,English,7.6,4,1940
Comedy,NOT RATED,Arsenic and Old Lace,USA,1944,movie,English,8.1,4,1940
Romance,APPROVED,Marèa Candelaria (Xochimilco),Mexico,1944,movie,Spanish,7.7,3.9,1940
Comedy,APPROVED,This Happy Breed,UK,1944,movie,English,7.3,3.9,1940
War,NA,The Way Ahead,UK,1944,movie,English,7.1,3.6,1940
Crime,APPROVED,And Then There Were None,USA,1945,movie,English,7.6,3.6,1940
Drama,NOT RATED,Brief Encounter,UK,1945,movie,English,8.1,4.2,1940
Drama,PASSED,Grand Hotel,USA,1932,movie,English,7.6,3.8,1930
Horror,UNRATED,The Mummy,USA,1932,movie,English,7.2,3.5,1930
Comedy,PASSED,Movie Crazy,USA,1932,movie,English,7.3,3.8,1930
Fantasy,UNRATED,Berkeley Square,USA,1933,movie,English,6.6,3.7,1930
Drama,UNRATED,The Invisible Man,USA,1933,movie,English,7.7,3.8,1930
Drama,PASSED,The Power and the Glory,USA,1933,movie,English,6.9,3.4,1930
Music,PASSED,One Night of Love,USA,1934,movie,English,6,3.2,1930
Comedy,NA,Carnival in Flanders,France,1935,movie,French,7.6,4,1940
Animation,NA,The New Gulliver,Soviet Union,1935,movie,Russian,6.9,3.7,1940
Western,NA,Der Kaiser von Kalifornien,Germany,1936,movie,German,7.1,4,1940
Adventure,PASSED,Captains Courageous,USA,1937,movie,English,8,3.9,1940
Comedy,APPROVED,Stage Door,USA,1937,movie,English,7.9,3.9,1940
Comedy,APPROVED,Bringing Up Baby,USA,1938,movie,English,8,4,1940
Comedy,PASSED,Carefree,USA,1938,movie,English,7.2,3.8,1940
Adventure,APPROVED,Drums,UK,1938,movie,English,6.6,3.5,1940
Crime,NOT RATED,Le Jour se Leve,France,1939,movie,French,7.8,4,1940
Comedy,PASSED,Ninotchka,USA,1939,movie,English,8,4,1940
Comedy,APPROVED,Down Argentine Way,USA,1940,movie,English,6.7,3.3,1940
Animation,APPROVED,Pinocchio,USA,1940,movie,English,7.5,3.3,1940
Biography,APPROVED,Sergeant York,USA,1941,movie,English,7.8,4,1940
Comedy,APPROVED,The Male Animal,USA,1942,movie,English,6.9,3.3,1940
Drama,APPROVED,Watch on the Rhine,USA,1943,movie,English,7.5,3.6,1940
Comedy,NOT RATED,Cover Girl,USA,1944,movie,English,7,3.6,1940
Drama,APPROVED,The Curse of the Cat People,USA,1944,movie,English,7,3.4,1940
Drama,NOT RATED,The Lost Weekend,USA,1945,movie,English,8,4,1940
Drama,PG,A Tree Grows in Brooklyn,USA,1945,movie,English,8.2,4,1940
Drama,PASSED,Red Dust,USA,1932,movie,English,7.4,2.9,1930
Adventure,PASSED,The Son of Kong,USA,1933,movie,English,5.8,2.8,1930
Animation,PASSED,Three Little Pigs,USA,1933,movie,English,7.6,3.9,1930
Adventure,PASSED,The Lost Patrol,USA,1934,movie,English,7,3.5,1930
Comedy,NOT RATED,The Thin Man,USA,1934,movie,English,8.2,4.2,1930
Drama,NA,Toni,France,1935,movie,French,7.4,3.9,1940
Biography,NA,Viva Villa!,USA,1934,movie,English,6.6,3.3,1930
Comedy,APPROVED,The Gilded Lily,USA,1935,movie,English,7.2,3.4,1940
Comedy,G,Gold Diggers of 1935,USA,1935,movie,English,7.6,3.6,1940
Drama,APPROVED,The Informer,USA,1935,movie,English,7.6,3.8,1940
Action,APPROVED,The Charge of the Light Brigade,USA,1936,movie,English,7.1,3.5,1940
Drama,PASSED,Dodsworth,USA,1936,movie,English,8.2,3.9,1940
Drama,NA,Sisters of the Gion,Japan,1936,movie,Japanese,7.7,3.8,1940
Romance,NOT RATED,My Man Godfrey,USA,1936,movie,English,8.1,4.1,1940
Drama,PASSED,Camille,USA,1936,movie,English,7.5,3.9,1940
Drama,PASSED,Make Way for Tomorrow,USA,1937,movie,English,8.3,4.3,1940
Crime,NOT RATED,Pèpè le Moko,France,1937,movie,French,7.8,3.8,1940
Animation,APPROVED,Snow White and the Seven Dwarfs,USA,1937,movie,English,7.7,1.2,1940
Drama,NA,Dance Program,France,1937,movie,French,7.4,2.5,1940
Action,PG,The Adventures of Robin Hood,USA,1938,movie,English,8,3.7,1940
Drama,APPROVED,A Man to Remember,USA,1938,movie,English,7.1,3.6,1940
Crime,APPROVED,Port of Shadows,France,1938,movie,French,7.6,4.1,1940
Drama,UNRATED,"Goodbye, Mr. Chips",UK,1939,movie,English,7.7,3.9,1940
Adventure,NOT RATED,Stagecoach,USA,1939,movie,English,7.9,3.9,1940
Drama,NA,The Stars Look Down,UK,1940,movie,English,7.2,3.5,1940
Drama,NOT RATED,The Grapes of Wrath,USA,1940,movie,English,8.1,3.9,1940
Comedy,APPROVED,His Girl Friday,USA,1940,movie,English,8.1,4,1940
Drama,PASSED,The Little Foxes,USA,1941,movie,English,8.2,4,1940
Drama,APPROVED,The Wolf Man,USA,1941,movie,English,7.4,3.8,1940
Adventure,NOT RATED,Road to Morocco,USA,1942,movie,English,7.4,3.6,1940
Biography,APPROVED,Yankee Doodle Dandy,USA,1942,movie,English,7.8,3.8,1940
Comedy,NA,Holy Matrimony,USA,1943,movie,English,7.2,3.9,1940
Adventure,PASSED,Lassie Come Home,USA,1943,movie,English,7.2,3.4,1940
Crime,NOT RATED,The Ox-Bow Incident,USA,1943,movie,English,8.1,4,1940
Documentary,NA,Tunisian Victory,USA,1944,movie,English,6.9,3.6,1940
Drama,PASSED,The Clock,USA,1945,movie,English,7.5,3.9,1940
Comedy,NOT RATED,Blithe Spirit,UK,1945,movie,English,7.1,3.8,1940
Drama,NA,Levoton veri,Finland,1946,movie,Finnish,6.7,3.9,1950
Drama,APPROVED,Forbidden,USA,1932,movie,English,7,3.5,1930
Comedy,PASSED,Duck Soup,USA,1933,movie,English,8,4.1,1930
Short,NOT RATED,Zero for Conduct,France,1933,movie,French,7.5,3.9,1930
Horror,NA,The Black Cat,USA,1934,movie,English,7.2,3.7,1930
